Mengzi	蒙自
Mile	弥勒
Pu'er	普洱
Qujing	曲靖
Ruili	瑞丽
Shangri-La	香格里拉
Xuanwei	宣威
Yuxi	玉溪
Zhaotong	昭通
Cixi	慈溪
Dongyang	东阳
Fenghua	奉化
Haining	海宁
Hangzhou	杭州
Huzhou	湖州
Jiande	建德
Jiangshan	江山
Jiaxing	嘉兴
Jinhua	金华
Lanxi	兰溪
Longquan	龙泉
Lin'an	临安
Linhai	临海
Lishui	丽水
Ningbo	宁波
Pinghu	平湖
Quzhou	衢州
Ruian	瑞安
Shaoxing	绍兴
Shengzhou	嵊州
Taizhou	台州
Tongxiang	桐乡
Wenling	温岭
Wenzhou	温州
Yueqing	乐清
Yongkang	永康
Yiwu	义乌
Yuyao	余姚
Zhoushan	舟山
Zhuji	诸暨
